OBJECTID,BOUNDARY,LEGEND,DATA_SRC,Shape__Length
1267,Town,Town,RI,7705.03301022498
1268,State,State,CT,14650.0496800944
1269,Town,Town,CT,19565.1576300656
1270,County,Town,CT,27518.5759797717
1271,Town,Town,RI,38146.6438831501
1272,Town,Town,RI,30277.8870312498
1273,County,Town,CT,17898.561099691
1274,Town,Town,CT,26045.9613010824
1275,Town,Town,CT,25474.1075199789
1276,Town,Town,CT,29571.8899008915
1277,Town,Town,RI,15454.3096526723
1278,County,Town,NY,45234.3904167274
1279,County,Town,NY,6552.5730407464
1280,Town,Town,NY,25846.9331645112
1281,Town,Town,CT,22002.1724412524
1282,Town,Town,RI,13629.7020103224
1283,County,Town,CT,16692.2444178913
1284,Town,Town,NY,29819.6136884577
1285,Town,Town,CT,30378.247552258
1286,Town,Town,CT,35988.5902500622
1287,Town,Town,RI,33303.9219374653
1288,Town,Town,CT,12778.5957764697
1289,Town,Town,CT,19193.3789264545
1290,County,Town,CT,17417.4730783589
1291,County,Town,CT,16751.4945884732
1292,County,Town,NY,21164.4555430301
1293,Town,Town,CT,34975.6587201934
1294,Town,Town,CT,11111.2823577407
1295,Town,Town,CT,33332.7922923513
1296,Town,Town,NY,59041.1572380098
1297,Town,Town,CT,17087.9048645627
1298,Town,Town,CT,14752.0507004988
1299,Town,Town,CT,16181.7684866711
1300,County,Town,CT,8054.67149565686
1301,County,Town,CT,25546.4913255031
1302,Town,Town,CT,18568.034277737
1303,County,Town,CT,15944.1624576859
1304,County,Town,CT,6548.13400557929
1305,Town,Town,RI,28443.6735464774
1306,Town,Town,CT,36647.0765150418
1307,Town,Town,CT,10674.6885909662
1308,Town,Town,CT,23506.2465464025
1309,Town,Town,CT,12330.9081838005
1310,Town,Town,CT,29682.3337313302
1311,Town,Town,CT,13605.8145260524
1312,Town,Town,CT,1122.35116986008
1313,County,Town,NY,11086.5797179276
1314,Town,Town,CT,9127.42072501581
1315,Town,Town,NY,16555.1262392444
1316,Town,Town,RI,6728.70258865953
1317,Town,Town,CT,21040.946463452
1318,State,State,CT,25171.2311122578
1319,Town,Town,RI,5821.77675308663
1320,Town,Town,NY,26947.7068610935
1321,Town,Town,CT,28438.1559032937
1322,Town,Town,CT,17977.6230826991
1323,County,Town,NY,42452.5662363517
1324,County,Town,NY,8409.95477192362
1325,Town,Town,CT,35285.7082834654
1326,Town,Town,CT,31309.8071106586
1327,State,State,CT,3930.43993534985
1328,Town,Town,NY,32401.6437888611
1329,Town,Town,NY,28458.3435008537
1330,Town,Town,CT,25004.412756068
1331,Town,Town,CT,9493.24589056983
1332,Town,Town,CT,12693.4565844084
1333,Town,Town,RI,33220.950445586
1334,County,Town,CT,30974.8881886447
1335,Town,Town,CT,21288.0676961775
1336,Town,Town,RI,8288.10458004403
1337,Town,Town,NY,30262.6729680107
1338,County,Town,NY,4456.46036841787
1339,Town,Town,CT,10905.2884470735
1340,Town,Town,CT,36175.1436747032
1341,County,Town,CT,7021.75171716147
1342,Town,Town,CT,9621.04244830091
1343,Town,Town,NY,43703.6547204149
1344,Town,Town,RI,13403.3209563715
1345,Town,Town,RI,34737.8676213021
1346,Town,Town,CT,15043.4243761024
1347,County,Town,CT,11713.0119179994
1348,Town,Town,CT,18070.4878330002
1349,Town,Town,CT,6066.99136647159
1350,Town,Town,NY,46767.964479279
1351,County,Town,CT,35624.1593024318
1352,County,Town,CT,7244.24622079242
1353,County,Town,CT,23166.4914233662
1354,Town,Town,CT,24455.5048203049
1355,Town,Town,CT,23225.0686956236
1356,Town,Town,CT,8944.93912901672
1357,Town,Town,CT,34231.1394554084
1358,County,Town,CT,47635.0934318216
1359,State,State,CT,32393.8687291611
1360,Town,Town,CT,18377.1256683474
1361,Town,Town,CT,23566.1293736657
1362,Town,Town,CT,34115.7088677819
1363,Town,Town,CT,13112.4315931311
1364,Town,Town,CT,16606.3175303075
1365,Town,Town,CT,23641.4578131556
1366,Town,Town,CT,9721.11617009738
1367,County,Town,CT,9031.60912449628
1368,Town,Town,RI,16516.5829194514
1369,Town,Town,CT,37713.5605683943
1370,Town,Town,CT,21421.6475502637
1371,Town,Town,CT,24856.0018761444
1372,Town,Town,CT,9301.19548840809
1373,Town,Town,CT,33191.0236328961
1374,County,Town,CT,14420.2742092952
1375,Town,Town,CT,5165.75759146762
1376,Town,Town,CT,27048.70872006
1377,Town,Town,RI,1011.65975840255
1378,Town,Town,RI,361.884458589105
1379,County,Town,CT,31679.9424625428
1380,Town,Town,RI,788.73189015188
1381,County,Town,CT,15741.2704399147
1382,State,State,CT,23883.1489525573
1383,County,Town,CT,10679.4259556349
1384,Town,Town,CT,33199.1646084642
1385,Town,Town,CT,16998.9765956483
1386,Town,Town,RI,34994.8953707074
1387,Town,Town,NY,32642.6971628564
1388,Town,Town,NY,12666.2235826037
1389,Town,Town,CT,16797.0761461833
1390,Town,Town,RI,860.411659540143
1391,Town,Town,RI,133.36277394015
1392,State,State,CT,3078.81799173828
1393,Town,Town,CT,23868.6451776871
1394,County,Town,CT,4321.56413297102
1395,Shoreline,Shoreline,RI,1189.77536433759
1396,Town,Town,CT,27108.7067909428
1397,Town,Town,RI,1346.36794903021
1398,Town,Town,CT,8963.87370625729
1399,Town,Town,CT,13021.7657833512
1400,Town,Town,CT,12897.5110937482
1401,County,Town,NY,32393.9304776547
1402,Town,Town,NY,30906.290410891
1403,Town,Town,CT,17381.9044348742
1404,Town,Town,CT,26987.6441326262
1405,Town,Town,CT,18356.4223482642
1406,County,Town,NY,33264.025303025
1407,Town,Town,CT,11279.6760113634
1408,Town,Town,CT,6680.4247841441
1409,County,Town,CT,10993.0543675315
1410,Town,Town,CT,29805.905065918
1411,County,Town,CT,16778.1907479892
1412,Town,Town,CT,1895.66237854137
1413,County,Town,NY,22637.1145706451
