Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Prospect,38752,39469,40156,39033,36569,37394,37594,37880,37544,38022,40690,39423,38899,38176,37755,40371,40323,40582
Putnam,44139,42342,40181,40205,39525,40221,40024,40117,39391,38706,40706,39739,39684,39067,39894,41890,40236,41756
Redding,45749,45348,46005,46406,45884,44987,44752,46543,46191,45292,46878,48335,44262,44078,45777,52122,59216,59081
Ridgefield,71700,75668,77345,76715,78750,79348,79089,79316,79234,80461,79222,76031,73092,70547,71977,78444,75905,78313
Rocky hill,54773,54634,58740,57455,57838,57825,57908,57199,58157,65553,67272,66299,67404,65536,59487,61754,58379,59990
Roxbury,38848,41624,39632,39004,36248,36997,36430,36246,35416,35457,38779,41540,37013,37675,37584,40168,41456,46872
Salem,30597,30108,31420,31913,32839,35099,34866,30028,30473,30499,31859,33135,30835,30792,32952,35242,35289,39250
Salisbury,38952,40215,41724,41168,41760,43871,41994,42620,40945,39277,40524,40876,40603,41400,41195,44699,45851,47013
Scotland,34070,27359,28443,27719,26463,25615,27211,26927,28864,28124,32547,30940,30158,27173,26844,28767,28219,28033
Seymour,42001,42897,43126,41799,41637,43188,42298,40684,39914,40270,42088,42236,41748,41593,41519,45857,44129,46810
Sharon,51421,50522,49717,48607,45872,43911,43915,41904,43387,44523,43792,43937,46875,48993,50949,57813,54784,55506
Shelton,74368,74968,77965,77108,77077,78284,80856,82450,82440,77449,75386,76638,62955,61269,60953,65632,62420,63500
Sherman,39061,41297,42372,39273,35562,38742,37932,38094,40183,38442,39143,39048,40554,36717,36664,39504,41148,43894
Simsbury,68420,67693,74736,66641,64745,66908,68351,68185,65761,65059,66871,54540,53594,53916,54075,59461,53350,53127
Somers,46261,47481,48035,46338,47347,47221,49262,45952,46279,45658,47398,45984,45216,44758,43770,47824,44779,43319
South windsor,51056,49777,50514,49649,48649,48930,48657,47143,46352,45889,47143,48050,47871,45796,46305,49100,46501,50260
Southbury,65394,65989,70218,68853,68624,68004,68903,67244,62836,60679,61262,57636,58022,53504,52845,56505,56134,58808
Southington,43999,43530,41749,44878,41124,39824,37840,37622,37149,37522,38365,39093,38639,37845,38060,43502,41278,43045
Sprague,46326,46245,47272,47796,46263,46876,43950,42016,40669,40815,40461,42784,41905,41459,41579,47879,42484,44156
Stafford,39357,39709,39483,40775,41219,41452,39932,38247,36981,38119,38801,38250,39424,38686,39695,42964,39213,43297
