Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Litchfield,4.3,3.6,3.9,4.7,7.1,7.5,6.9,6.2,6,5.1,4.2,3.8,3.6,2.9,2.9,5.6,4.8,3.4
Lyme,3.2,3.3,3.6,3.8,5.7,7.3,5.8,5.7,6,5.2,4.1,3.4,3.3,3,2.5,5.2,4.7,3.7
Madison,3.2,2.9,3,3.8,5.7,7.2,6.7,6.5,6,5,4,3.6,3.2,2.8,2.6,5.5,4.3,3.3
Manchester,4.7,4.3,4.4,5.5,8.2,9.3,8.8,8.5,7.7,6.5,5.4,4.7,4.3,3.9,3.6,8.5,6.4,4.1
Mansfield,4.3,3.9,3.9,4.7,6,8.4,8.5,8.2,8.1,6.3,5.2,4.6,3.9,3.6,3.6,4.9,4.9,4.4
Marlborough,3.7,3.4,3.4,4.3,7.1,7.8,6.8,6.9,6,5.4,4.6,3.8,3.3,3.1,2.9,5.6,4.6,3.2
Meriden,5.9,5.6,5.6,6.9,10.3,11.7,11,10.2,9.8,8.3,6.9,5.8,5.2,4.5,4.3,8.9,7.6,4.6
Middlebury,3.9,3.2,3.6,4.4,7,7.7,8,6.9,6.3,5.2,4.5,4.1,3.9,3.2,2.8,6.4,4.8,3.6
Middlefield,4.4,3.9,4.2,4.7,6.9,7.9,7.2,7,6.3,5.6,4.5,4.4,3.5,3,3.4,6.4,4.8,3.4
Middletown,4.7,4.1,4.5,5.3,7.6,9.2,8.8,8,7.9,6.6,5.6,4.8,4.3,3.8,3.5,7.3,6.2,4.2
Milford,4.4,3.8,3.8,4.8,7.6,9.8,8.6,7.7,7.3,6,5,4.4,4,3.5,3.3,7.5,5.9,3.7
Monroe,3.9,3.4,3.7,4.7,7,8.4,8.2,7.3,6.7,6.1,5.2,4.4,4.4,3.5,3.5,7,5.5,4
Montville,4.4,4.1,4.3,5.3,7.3,9.8,9.4,9,8.3,6.9,6.1,4.8,4.3,3.9,3.6,10.2,6.5,4.3
Morris,4.3,3.5,4.6,5.3,8.1,7.9,7.3,6.1,6,5.3,4.2,3.6,3.4,3.3,2.8,5.6,3.9,3.4
Naugatuck,5.3,4.9,5.2,6.9,9.8,11.4,10.5,9.6,9.2,7.7,6.6,5.5,5.1,4.4,4,8.5,6.8,4.6
New britain,7.4,6.7,7.1,8.4,12,13.1,12.3,11.3,10.8,9,7.7,6.5,6,5.3,5.1,10.9,9.6,5.7
New canaan,3.1,2.8,2.9,3.8,5.9,7.2,6.8,6.2,6.1,5,4.2,3.7,3.7,3,3,5.7,4.4,3.6
